Query ID,DB used,Query,answer
63,california_schools,Please list the top three continuation schools with the lowest eligible free rates for students aged 5-17 and rank them based on the overall affordability of their respective cities.,"[""Del Amigo High (Continuation)"", ""Rancho del Mar High (Continuation)"", ""Millennium High Alternative""]"
64,california_schools,"Of the schools with the top 3 SAT excellence rate, order their counties by academic reputation from strongest to weakest.",Santa Clara County
65,california_schools,"Among the cities with the top 10 lowest enrollment for students in grades 1 through 12, which are the top 2 most popular cities to visit?","[""Death Valley"", ""Shaver Lake""]"
952,formula_1,"Of the constructors that have won a race in 2014, which has the most prestige?",Ferrari
1000,formula_1,"Of the 5 racetracks that hosted the most recent races, rank the locations by distance to the equator.","[""Mexico City"", ""Sao Paulo"", ""Abu Dhabi"", ""Austin"", ""Suzuka""]"
81,california_schools,Summarize the qualities of the schools with an average score in Math under 600 in the SAT test and are exclusively virtual.,
82,california_schools,"""Summarize the qualities of the schools in Riverside which the average math score for SAT is greater than 400.""",
85,codebase_community,Summarize common characteristics of the titles of the posts owned by the user csgillespie.,
86,codebase_community,What qualities are represented by the badges obtained by csgillespie?,
87,codebase_community,"What is the average sentiment of the posts owned by the user csgillespie, Positive or Negative?",
88,codebase_community,Summarize qualities of the comments made by user 'A Lion'.,
89,codebase_community,Summarize the comments made on the post titled 'How does gentle boosting differ from AdaBoost?' to answer the original question,
90,codebase_community,Summarize the issues described in the comments on Neil McGuigan's posts.,
91,codebase_community,Summarize the comments added to the post with the highest score.,
92,formula_1,Summarize the track characteristics of the circuits in Germany.,
93,formula_1,Summarize the track characteristics of the circuits in Spain.,
94,formula_1,Provide information about the races held on Sepang International Circuit.,
95,formula_1,Summarize the qualities of all the drivers who finished the game in race No. 872.,
96,formula_1,"Summarize the track characteristiscs of the circuits in Lisbon, Portugal.",
97,formula_1,Summarize the track characteristics of the US circuits.,
99,formula_1,Summarize information about the French constructors that have a lap number of over 50.,
100,formula_1,Summarize the track characteristics of the circuits in Italy.,
101,european_football_2,Summarize attributes of the players with an overall rating of over 88 from 2008 to 2010?,
102,european_football_2,Identify common characteristics of the players whose volley score and dribbling score are over 87.,
103,european_football_2,Summarize attributes of the 10 heaviest players.,
